Titel,Gruppe[Nr],Gruppe[Titel],Gruppe[Oprettet],Gruppe[Rettet],Gruppe[Emner],Gruppe[Filtre],Fritekst
Gruppe_13.20,13.20,"Kommunal bustrafik [udgået]",1989-01-01,,"Emne_13.20.00,Emne_13.20.01,Emne_13.20.02,Emne_13.20.03,Emne_13.20.04,Emne_13.20.05,Emne_13.20.10","",[[Category:NaN_KLE_Data]]
Gruppe_13.25,13.25,"Færgetrafik",1991-01-01,,"Emne_13.25.00,Emne_13.25.01,Emne_13.25.03,Emne_13.25.05,Emne_13.25.10","",[[Category:NaN_KLE_Data]]
Gruppe_13.29,13.29,"Gasindvinding",1998-01-01,,"Emne_13.29.00","",[[Category:NaN_KLE_Data]]
Gruppe_13.30,13.30,"Decentral kraftvarme",1994-01-01,,"Emne_13.30.00,Emne_13.30.05","",[[Category:NaN_KLE_Data]]
Gruppe_14.00,14.00,"Beredskab",1988-01-01,2011-05-01,"Emne_14.00.00,Emne_14.00.01,Emne_14.00.02,Emne_14.00.03,Emne_14.00.04,Emne_14.00.05,Emne_14.00.06,Emne_14.00.07,Emne_14.00.08,Emne_14.00.09,Emne_14.00.10,Emne_14.00.11,Emne_14.00.12,Emne_14.00.13,Emne_14.00.14,Emne_14.00.15,Emne_14.00.18,Emne_14.00.20,Emne_14.00.22","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.01,14.01,"Redningsberedskabets indsats",1988-01-01,,"Emne_14.01.00,Emne_14.01.01,Emne_14.01.02,Emne_14.01.03,Emne_14.01.04,Emne_14.01.05,Emne_14.01.06,Emne_14.01.07,Emne_14.01.08,Emne_14.01.09,Emne_14.01.10,Emne_14.01.11,Emne_14.01.12,Emne_14.01.13,Emne_14.01.14,Emne_14.01.15,Emne_14.01.16,Emne_14.01.17,Emne_14.01.25","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.02,14.02,"Egenbeskyttelse",1988-01-01,,"Emne_14.02.00,Emne_14.02.01,Emne_14.02.04","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.03,14.03,"Politiets CF-foranstaltninger [udgået]",1988-01-01,,"Emne_14.03.00,Emne_14.03.01,Emne_14.03.02,Emne_14.03.03,Emne_14.03.04,Emne_14.03.05,Emne_14.03.06","",[[Category:NaN_KLE_Data]]
Gruppe_14.04,14.04,"Beredskabsforanstaltninger [udgået]",1988-01-01,,"Emne_14.04.00,Emne_14.04.01,Emne_14.04.02,Emne_14.04.05","",[[Category:NaN_KLE_Data]]
Gruppe_14.05,14.05,"Redningsberedskabets materiel/ køretøjer til brug for indsats",1988-01-01,,"Emne_14.05.00,Emne_14.05.02,Emne_14.05.03,Emne_14.05.05,Emne_14.05.06,Emne_14.05.07,Emne_14.05.08,Emne_14.05.09,Emne_14.05.10,Emne_14.05.11,Emne_14.05.12,Emne_14.05.13,Emne_14.05.15","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.06,14.06,"Lokaliteter",1988-01-01,,"Emne_14.06.00,Emne_14.06.01,Emne_14.06.02,Emne_14.06.03,Emne_14.06.05,Emne_14.06.06,Emne_14.06.07,Emne_14.06.10,Emne_14.06.12,Emne_14.06.15,Emne_14.06.20","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.07,14.07,"Personel, redningsberedskab",1988-01-01,,"Emne_14.07.00,Emne_14.07.01,Emne_14.07.02,Emne_14.07.03,Emne_14.07.04,Emne_14.07.05,Emne_14.07.06,Emne_14.07.07,Emne_14.07.08,Emne_14.07.09","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.08,14.08,"Frivillige [udgået]",1988-01-01,,"Emne_14.08.00,Emne_14.08.01,Emne_14.08.02,Emne_14.08.03","",[[Category:NaN_KLE_Data]]
Gruppe_14.09,14.09,"Øvelser og arrangementer",1990-01-01,2003-08-01,"Emne_14.09.00,Emne_14.09.04","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.10,14.10,"Udrykningstjeneste",1988-01-01,,"Emne_14.10.00,Emne_14.10.01,Emne_14.10.02,Emne_14.10.03,Emne_14.10.04,Emne_14.10.05,Emne_14.10.06,Emne_14.10.07,Emne_14.10.10","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.11,14.11,"Alarmering [udgået]",1988-01-01,,"Emne_14.11.00,Emne_14.11.01,Emne_14.11.02,Emne_14.11.03,Emne_14.11.05","",[[Category:NaN_KLE_Data]]
Gruppe_14.12,14.12,"Forebyggende beredskabsforanstaltninger",1988-01-01,2013-11-01,"Emne_14.12.00,Emne_14.12.01,Emne_14.12.02,Emne_14.12.03,Emne_14.12.04,Emne_14.12.05,Emne_14.12.06,Emne_14.12.07,Emne_14.12.08,Emne_14.12.09,Emne_14.12.10,Emne_14.12.11,Emne_14.12.12,Emne_14.12.15,Emne_14.12.16,Emne_14.12.17,Emne_14.12.18,Emne_14.12.19,Emne_14.12.20,Emne_14.12.22,Emne_14.12.25,Emne_14.12.28","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.13,14.13,"Brandmæssig regulering af bygnings- og trafikforhold [udgået]",1988-01-01,,"Emne_14.13.00,Emne_14.13.01,Emne_14.13.02,Emne_14.13.03,Emne_14.13.04,Emne_14.13.05","",[[Category:NaN_KLE_Data]]
Gruppe_14.14,14.14,"Opgaver for andre, redningsberedskab",1988-01-01,,"Emne_14.14.00,Emne_14.14.01,Emne_14.14.02,Emne_14.14.03,Emne_14.14.05,Emne_14.14.06,Emne_14.14.11,Emne_14.14.12","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_14.15,14.15,"Vagtselskaber [udgået]",1988-01-01,,"Emne_14.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_14.16,14.16,"Frivilligt brandmandskab - Uddannelse af frivilligt brandmandskab [udgået]",1988-01-01,,"Emne_14.16.00","",[[Category:NaN_KLE_Data]]
Gruppe_14.17,14.17,"Vandforsyning til brandslukning [udgået]",1990-01-01,,"Emne_14.17.00","",[[Category:NaN_KLE_Data]]
Gruppe_14.18,14.18,"Brand- og redningsskolevirksomhed",1988-01-01,,"Emne_14.18.00","",[[Category:NaN_KLE_Data]]
Gruppe_14.20,14.20,"Beredskabsanlæg",2003-08-01,,"Emne_14.20.00,Emne_14.20.02,Emne_14.20.04","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.00,15.00,"Organisering og understøttelse af beskæftigelsesindsatsen",1988-01-01,2015-02-01,"Emne_15.00.00,Emne_15.00.05,Emne_15.00.10,Emne_15.00.15,Emne_15.00.20,Emne_15.00.25","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.01,15.01,"Arbejdsløshedsforsikring",1988-01-01,2006-08-01,"Emne_15.01.00,Emne_15.01.01,Emne_15.01.02,Emne_15.01.03,Emne_15.01.04,Emne_15.01.05,Emne_15.01.06,Emne_15.01.07,Emne_15.01.08,Emne_15.01.12,Emne_15.01.16,Emne_15.01.20","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.02,15.02,"Arbejdstilbud til ledige [udgået]",1988-01-01,,"Emne_15.02.00,Emne_15.02.01,Emne_15.02.02,Emne_15.02.03,Emne_15.02.04,Emne_15.02.05","",[[Category:NaN_KLE_Data]]
Gruppe_15.03,15.03,"Arbejdsmarkedsuddannelser",1988-01-01,,"Emne_15.03.00,Emne_15.03.01,Emne_15.03.02,Emne_15.03.03,Emne_15.03.04,Emne_15.03.05,Emne_15.03.06,Emne_15.03.07,Emne_15.03.10","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.04,15.04,"Kommunale beskæftigelsesprojekter",1988-01-01,,"Emne_15.04.00,Emne_15.04.01,Emne_15.04.02,Emne_15.04.03,Emne_15.04.04,Emne_15.04.10","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.05,15.05,"Beskæftigelsesfremmende foranstaltninger for andre [udgået]",1984-01-01,,"Emne_15.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_15.06,15.06,"Sundheds- og sikkerhedsforhold på erhvervsvirksomheder",1988-01-01,,"Emne_15.06.00","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.07,15.07,"Kombineret undervisnings- og produktionsvirksomhed [udgået]",1988-01-01,,"Emne_15.07.00,Emne_15.07.01","",[[Category:NaN_KLE_Data]]
Gruppe_15.08,15.08,"Erhvervsgrunduddannelse mv.",1988-01-01,2007-08-01,"Emne_15.08.00,Emne_15.08.01,Emne_15.08.02,Emne_15.08.03,Emne_15.08.05,Emne_15.08.06,Emne_15.08.07,Emne_15.08.10,Emne_15.08.15,Emne_15.08.16","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.09,15.09,"Jobskabelse [udgået]",1988-01-01,,"Emne_15.09.00,Emne_15.09.01,Emne_15.09.02","",[[Category:NaN_KLE_Data]]
Gruppe_15.10,15.10,"Uddannelsesydelse og iværksætterydelse til ledige over 25 år [udgået]",1988-01-01,,"Emne_15.10.00,Emne_15.10.01,Emne_15.10.02","",[[Category:NaN_KLE_Data]]
Gruppe_15.15,15.15,"Servicefunktion m.v. [udgået]",1993-01-01,,"Emne_15.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_15.17,15.17,"Opfølgning, vurdering og revalidering",2009-05-01,,"Emne_15.17.00,Emne_15.17.03,Emne_15.17.06,Emne_15.17.09,Emne_15.17.12,Emne_15.17.18,Emne_15.17.22,Emne_15.17.26","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.20,15.20,"Beskæftigelsesindsats ",1994-01-01,2013-02-01,"Emne_15.20.00,Emne_15.20.01,Emne_15.20.02,Emne_15.20.03,Emne_15.20.04,Emne_15.20.05,Emne_15.20.06,Emne_15.20.07,Emne_15.20.08,Emne_15.20.09,Emne_15.20.10,Emne_15.20.11,Emne_15.20.12,Emne_15.20.13,Emne_15.20.14,Emne_15.20.15,Emne_15.20.16,Emne_15.20.17,Emne_15.20.18,Emne_15.20.20,Emne_15.20.22,Emne_15.20.24,Emne_15.20.25,Emne_15.20.30,Emne_15.20.34,Emne_15.20.36,Emne_15.20.38,Emne_15.20.42,Emne_15.20.45","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.21,15.21,"Formidlingsindsats",1996-01-01,2006-08-01,"Emne_15.21.00,Emne_15.21.01,Emne_15.21.02,Emne_15.21.03,Emne_15.21.05,Emne_15.21.10,Emne_15.21.16,Emne_15.21.20,Emne_15.21.30","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.22,15.22,"Kompensation til handicappede i erhverv mv.",2007-08-01,,"Emne_15.22.00,Emne_15.22.03,Emne_15.22.06,Emne_15.22.09","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.23,15.23,"Information og vejledning i jobcenteret",2006-08-01,2012-08-01,"Emne_15.23.00,Emne_15.23.05,Emne_15.23.07","FolkeskolenDelplan,DagtilbudDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.25,15.25,"Orlovsordninger (ikke-kommunalt ansatte) [udgået]",1994-01-01,2005-02-01,"Emne_15.25.00","KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.27,15.27,"Servicejob",2011-05-01,,"Emne_15.27.00","",[[Category:NaN_KLE_Data]]
Gruppe_15.28,15.28,"Seniorjob",2007-08-01,,"Emne_15.28.00","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.30,15.30,"Studiejob",2013-02-01,,"Emne_15.30.00,Emne_15.30.05","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_15.40,15.40,"Integration og udlændinge",2014-08-01,,"Emne_15.40.00,Emne_15.40.05,Emne_15.40.10,Emne_15.40.15,Emne_15.40.20,Emne_15.40.25,Emne_15.40.30","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_16.00,16.00,"Social- og sundhedsvirksomhed [udgået] ",1984-01-01,2005-02-01,"Emne_16.00.00,Emne_16.00.01,Emne_16.00.02,Emne_16.00.03,Emne_16.00.05,Emne_16.00.06,Emne_16.00.08,Emne_16.00.09,Emne_16.00.10,Emne_16.00.11,Emne_16.00.12,Emne_16.00.13,Emne_16.00.15,Emne_16.00.20,Emne_16.00.25,Emne_16.00.30,Emne_16.00.31,Emne_16.00.32,Emne_16.00.33,Emne_16.00.34,Emne_16.00.36,Emne_16.00.40,Emne_16.00.41,Emne_16.00.42,Emne_16.00.43,Emne_16.00.45,Emne_16.00.47,Emne_16.00.49","",[[Category:NaN_KLE_Data]]
Gruppe_16.01,16.01,"Kontanthjælp, revalidering mv. [udgået] ",1988-01-01,,"Emne_16.01.00,Emne_16.01.01,Emne_16.01.02,Emne_16.01.03,Emne_16.01.06,Emne_16.01.07,Emne_16.01.09,Emne_16.01.12,Emne_16.01.13,Emne_16.01.14,Emne_16.01.19,Emne_16.01.20,Emne_16.01.21,Emne_16.01.22,Emne_16.01.25,Emne_16.01.30,Emne_16.01.35,Emne_16.01.40,Emne_16.01.43","",[[Category:NaN_KLE_Data]]
Gruppe_16.02,16.02,"Dagpleje [udgået]",1986-01-01,,"Emne_16.02.00,Emne_16.02.01","",[[Category:NaN_KLE_Data]]
Gruppe_16.03,16.03,"Særlig støtte til børn og unge [udgået] ",1988-01-01,1996-01-01,"Emne_16.03.00,Emne_16.03.01,Emne_16.03.02,Emne_16.03.03,Emne_16.03.04,Emne_16.03.05,Emne_16.03.06,Emne_16.03.07,Emne_16.03.09,Emne_16.03.10,Emne_16.03.11,Emne_16.03.12,Emne_16.03.15,Emne_16.03.16,Emne_16.03.20,Emne_16.03.21,Emne_16.03.24,Emne_16.03.25,Emne_16.03.26,Emne_16.03.27,Emne_16.03.30,Emne_16.03.31,Emne_16.03.32,Emne_16.03.33,Emne_16.03.34,Emne_16.03.35,Emne_16.03.36,Emne_16.03.37,Emne_16.03.38,Emne_16.03.39,Emne_16.03.40,Emne_16.03.41,Emne_16.03.42,Emne_16.03.43,Emne_16.03.45,Emne_16.03.46,Emne_16.03.47,Emne_16.03.49,Emne_16.03.50,Emne_16.03.52,Emne_16.03.54,Emne_16.03.56,Emne_16.03.58,Emne_16.03.60,Emne_16.03.62,Emne_16.03.64,Emne_16.03.66","",[[Category:NaN_KLE_Data]]
Gruppe_16.04,16.04,"Andre private dagsforanstaltninger for børn [udgået]",1988-01-01,,"Emne_16.04.00,Emne_16.04.01,Emne_16.04.02,Emne_16.04.03,Emne_16.04.04,Emne_16.04.05,Emne_16.04.06,Emne_16.04.09,Emne_16.04.14,Emne_16.04.15,Emne_16.04.20,Emne_16.04.25","",[[Category:NaN_KLE_Data]]
Gruppe_16.05,16.05,"Opbygning af dagtilbud til børn og fritidshjem mv. [udgået] ",1988-01-01,2008-08-01,"Emne_16.05.00,Emne_16.05.01,Emne_16.05.03,Emne_16.05.05,Emne_16.05.07,Emne_16.05.10,Emne_16.05.15,Emne_16.05.20,Emne_16.05.21","",[[Category:NaN_KLE_Data]]
Gruppe_16.06,16.06,"Dagtilbud til børn og fritidshjem [udgået] ",1988-01-01,2008-08-01,"Emne_16.06.00,Emne_16.06.01,Emne_16.06.02,Emne_16.06.03,Emne_16.06.04,Emne_16.06.05,Emne_16.06.06,Emne_16.06.07,Emne_16.06.08,Emne_16.06.09,Emne_16.06.10,Emne_16.06.11,Emne_16.06.12,Emne_16.06.13,Emne_16.06.14,Emne_16.06.15,Emne_16.06.20,Emne_16.06.25,Emne_16.06.30,Emne_16.06.35,Emne_16.06.40,Emne_16.06.45","",[[Category:NaN_KLE_Data]]
Gruppe_16.07,16.07,"Boligtilbud for ældre og handicappede [udgået]",1988-01-01,,"Emne_16.07.00,Emne_16.07.01,Emne_16.07.02,Emne_16.07.03,Emne_16.07.04,Emne_16.07.05,Emne_16.07.06,Emne_16.07.07,Emne_16.07.08,Emne_16.07.10,Emne_16.07.12,Emne_16.07.15,Emne_16.07.16,Emne_16.07.20,Emne_16.07.25","",[[Category:NaN_KLE_Data]]
Gruppe_16.08,16.08,"Personlig hjælp, omsorg og pleje mv. [udgået] ",1988-01-01,2005-02-01,"Emne_16.08.00,Emne_16.08.01,Emne_16.08.03,Emne_16.08.04,Emne_16.08.05,Emne_16.08.06,Emne_16.08.07,Emne_16.08.08,Emne_16.08.09,Emne_16.08.12,Emne_16.08.14,Emne_16.08.20,Emne_16.08.22,Emne_16.08.24,Emne_16.08.25,Emne_16.08.30,Emne_16.08.32,Emne_16.08.34,Emne_16.08.36,Emne_16.08.38,Emne_16.08.40,Emne_16.08.42,Emne_16.08.44","",[[Category:NaN_KLE_Data]]
Gruppe_16.09,16.09,"Genoptræning samt generelle aktiverende og forebyggende tilbud [udgået] ",1988-01-01,2005-02-01,"Emne_16.09.00,Emne_16.09.01,Emne_16.09.06,Emne_16.09.07,Emne_16.09.09,Emne_16.09.13,Emne_16.09.15,Emne_16.09.16,Emne_16.09.20","",[[Category:NaN_KLE_Data]]
Gruppe_16.10,16.10,"Boliger for pensionister m.fl. [udgået]",1988-01-01,,"Emne_16.10.00,Emne_16.10.01,Emne_16.10.02,Emne_16.10.03,Emne_16.10.04,Emne_16.10.05","",[[Category:NaN_KLE_Data]]
Gruppe_16.11,16.11,"Klubtilbud og andre socialpædagogiske fritidstilbud til børn og unge [udgået] ",1988-01-01,2005-02-01,"Emne_16.11.00,Emne_16.11.01,Emne_16.11.02,Emne_16.11.03","",[[Category:NaN_KLE_Data]]
Gruppe_16.12,16.12,"Beskyttede virksomheder [udgået]",1988-01-01,,"Emne_16.12.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.13,16.13,"Særlige tilbud og misbrugsbehandling mv. [udgået]",1986-01-01,2007-08-01,"Emne_16.13.00,Emne_16.13.01,Emne_16.13.02,Emne_16.13.03,Emne_16.13.04,Emne_16.13.05,Emne_16.13.06,Emne_16.13.07,Emne_16.13.08,Emne_16.13.09,Emne_16.13.10,Emne_16.13.11,Emne_16.13.13,Emne_16.13.15,Emne_16.13.16,Emne_16.13.17,Emne_16.13.18,Emne_16.13.20,Emne_16.13.21,Emne_16.13.22,Emne_16.13.26,Emne_16.13.28","",[[Category:NaN_KLE_Data]]
Gruppe_16.14,16.14,"Krisecentre [udgået] ",1988-01-01,,"Emne_16.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.15,16.15,"Botilbud mv. [udgået] ",1988-01-01,2005-02-01,"Emne_16.15.00,Emne_16.15.01,Emne_16.15.05,Emne_16.15.07,Emne_16.15.10,Emne_16.15.12,Emne_16.15.14","",[[Category:NaN_KLE_Data]]
Gruppe_16.16,16.16,"Sociale pensioner [udgået] ",1985-01-01,2005-02-01,"Emne_16.16.00,Emne_16.16.01,Emne_16.16.02,Emne_16.16.03,Emne_16.16.04,Emne_16.16.05,Emne_16.16.06,Emne_16.16.10,Emne_16.16.13,Emne_16.16.14,Emne_16.16.15","",[[Category:NaN_KLE_Data]]
Gruppe_16.17,16.17,"Børnetilskud [udgået] ",1988-01-01,2005-02-01,"Emne_16.17.00,Emne_16.17.01,Emne_16.17.02,Emne_16.17.03,Emne_16.17.04,Emne_16.17.05,Emne_16.17.06","",[[Category:NaN_KLE_Data]]
Gruppe_16.18,16.18,"Sygesikring [udgået] ",1988-01-01,,"Emne_16.18.00,Emne_16.18.01,Emne_16.18.02,Emne_16.18.05,Emne_16.18.10,Emne_16.18.12,Emne_16.18.14,Emne_16.18.16,Emne_16.18.20,Emne_16.18.22,Emne_16.18.30,Emne_16.18.32","",[[Category:NaN_KLE_Data]]
Gruppe_16.19,16.19,"Dagpenge [udgået] ",1988-01-01,2005-02-01,"Emne_16.19.00,Emne_16.19.01,Emne_16.19.02,Emne_16.19.03,Emne_16.19.04,Emne_16.19.05,Emne_16.19.06,Emne_16.19.10","",[[Category:NaN_KLE_Data]]
Gruppe_16.20,16.20,"Sundhedsmæssige ordninger [udgået] ",1988-01-01,,"Emne_16.20.00,Emne_16.20.01,Emne_16.20.02,Emne_16.20.03,Emne_16.20.04,Emne_16.20.05,Emne_16.20.06,Emne_16.20.07,Emne_16.20.08,Emne_16.20.09,Emne_16.20.10,Emne_16.20.12,Emne_16.20.14,Emne_16.20.16,Emne_16.20.18,Emne_16.20.20,Emne_16.20.22,Emne_16.20.24","",[[Category:NaN_KLE_Data]]
Gruppe_16.21,16.21,"Kommunale tandplejeordninger mv. [udgået] ",1988-01-01,,"Emne_16.21.00,Emne_16.21.01,Emne_16.21.02,Emne_16.21.03,Emne_16.21.07,Emne_16.21.08,Emne_16.21.09,Emne_16.21.12,Emne_16.21.15","",[[Category:NaN_KLE_Data]]
Gruppe_16.22,16.22,"Sygdomsbekæmpelse og forebyggelse [udgået]",1988-01-01,,"Emne_16.22.00,Emne_16.22.01,Emne_16.22.02,Emne_16.22.03","",[[Category:NaN_KLE_Data]]
Gruppe_16.23,16.23,"Boligstøtte [udgået] ",1988-01-01,2005-02-01,"Emne_16.23.00,Emne_16.23.01,Emne_16.23.02,Emne_16.23.03,Emne_16.23.04,Emne_16.23.05","",[[Category:NaN_KLE_Data]]
Gruppe_16.24,16.24,"Psykiatri [udgået] ",2003-08-01,,"Emne_16.24.00,Emne_16.24.02,Emne_16.24.04","",[[Category:NaN_KLE_Data]]
Gruppe_16.25,16.25,"Adoption [udgået] ",1988-01-01,2003-08-01,"Emne_16.25.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.26,16.26,"Arbejdsskadeforsikring [udgået]",1988-01-01,,"Emne_16.26.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.27,16.27,"Legater og privat filantropi [udgået]",1984-01-01,,"Emne_16.27.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.28,16.28,"Hjælp i særlige tilfælde [udgået] ",1999-01-01,,"Emne_16.28.00,Emne_16.28.01,Emne_16.28.02,Emne_16.28.03,Emne_16.28.04,Emne_16.28.05,Emne_16.28.06,Emne_16.28.07,Emne_16.28.08,Emne_16.28.09,Emne_16.28.10,Emne_16.28.11,Emne_16.28.13,Emne_16.28.15,Emne_16.28.17","",[[Category:NaN_KLE_Data]]
Gruppe_16.29,16.29,"Driftsaftaler/godkendelser, private behandlings- og botilbud mv. [udgået] ",1996-01-01,2007-08-01,"Emne_16.29.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.30,16.30,"Boligformer med socialpædagogisk sigte [udgået]",1988-01-01,,"Emne_16.30.00,Emne_16.30.01,Emne_16.30.02","",[[Category:NaN_KLE_Data]]
Gruppe_16.31,16.31,"Børnefamilieydelse [udgået] ",1988-01-01,,"Emne_16.31.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.32,16.32,"Underholdsbidrag [udgået] ",1988-01-01,,"Emne_16.32.00,Emne_16.32.01,Emne_16.32.02,Emne_16.32.03,Emne_16.32.05","",[[Category:NaN_KLE_Data]]
Gruppe_16.33,16.33,"Opbygning af behandlings- og botilbud mv. [udgået] ",2007-08-01,,"Emne_16.33.00,Emne_16.33.05","",[[Category:NaN_KLE_Data]]
Gruppe_16.34,16.34,"Aftaler mv., andre myndigheders behandlings- og botilbud mv. [udgået] ",2007-08-01,,"Emne_16.34.00,Emne_16.34.05","",[[Category:NaN_KLE_Data]]
Gruppe_16.35,16.35,"Døgnhjemmepleje [udgået]",1988-01-01,,"Emne_16.35.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.36,16.36,"Delpension [udgået] ",1989-01-01,,"Emne_16.36.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.37,16.37,"Ungdomsydelser [udgået]",1992-01-01,,"Emne_16.37.00,Emne_16.37.01,Emne_16.37.02,Emne_16.37.03,Emne_16.37.04,Emne_16.37.10","",[[Category:NaN_KLE_Data]]
Gruppe_16.38,16.38,"Svangerskabsafbrydelse, sterilisation mv. [udgået] ",2003-08-01,,"Emne_16.38.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.40,16.40,"Sociallægeligt samarbejde [udgået] ",2002-01-01,,"Emne_16.40.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.42,16.42,"Socialkiropraktisk samarbejde [udgået] ",2002-01-01,,"Emne_16.42.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.44,16.44,"Socialpsykologisk samarbejde [udgået] ",2002-01-01,,"Emne_16.44.00","",[[Category:NaN_KLE_Data]]
Gruppe_16.46,16.46,"Kontante ydelser, sociale formål [udgået] ",2008-05-01,,"Emne_16.46.00,Emne_16.46.06,Emne_16.46.08,Emne_16.46.12","",[[Category:NaN_KLE_Data]]
Gruppe_16.49,16.49,"Tilbagebetaling [udgået] ",2008-08-01,2009-02-01,"Emne_16.49.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.00,17.00,"Undervisning",1988-01-01,,"Emne_17.00.00,Emne_17.00.01,Emne_17.00.02,Emne_17.00.03,Emne_17.00.04,Emne_17.00.05,Emne_17.00.10,Emne_17.00.20,Emne_17.00.25,Emne_17.00.26,Emne_17.00.30,Emne_17.00.35","FolkeskolenDelplan,SaerligStoetteDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.01,17.01,"Styrelsen af kommunens skolevæsen",1988-01-01,2010-11-01,"Emne_17.01.00,Emne_17.01.01,Emne_17.01.02,Emne_17.01.03,Emne_17.01.04,Emne_17.01.05,Emne_17.01.06,Emne_17.01.08,Emne_17.01.10,Emne_17.01.11,Emne_17.01.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.02,17.02,"Skoleårets planlægning/tilrettelæggelse",1989-01-01,,"Emne_17.02.00,Emne_17.02.01,Emne_17.02.02,Emne_17.02.03,Emne_17.02.04,Emne_17.02.05,Emne_17.02.06,Emne_17.02.07,Emne_17.02.08,Emne_17.02.09,Emne_17.02.10,Emne_17.02.11,Emne_17.02.12,Emne_17.02.13,Emne_17.02.14,Emne_17.02.15,Emne_17.02.16,Emne_17.02.18,Emne_17.02.20,Emne_17.02.22,Emne_17.02.25,Emne_17.02.30,Emne_17.02.36,Emne_17.02.40,Emne_17.02.80,Emne_17.02.81,Emne_17.02.82","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.03,17.03,"Specialundervisning og specialpædagogisk bistand",1988-01-01,2012-05-01,"Emne_17.03.00,Emne_17.03.01,Emne_17.03.02,Emne_17.03.03,Emne_17.03.04,Emne_17.03.05,Emne_17.03.06,Emne_17.03.08,Emne_17.03.09,Emne_17.03.10,Emne_17.03.11,Emne_17.03.12,Emne_17.03.13,Emne_17.03.15,Emne_17.03.17,Emne_17.03.20,Emne_17.03.21,Emne_17.03.22,Emne_17.03.25","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
