Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Kørekortcirkulæret_C20150916309","Kørekortcirkulæret","","C20150916309",[[Category:NaN_KLE_Data]]
"Kørekortbekendtgørelsen_B20150031205","Kørekortbekendtgørelsen","","B20150031205",[[Category:NaN_KLE_Data]]
"Lov om offentlige betalinger m.v._A20070079829_P1","Lov om offentlige betalinger m.v.","§ 1","A20070079829_P1",[[Category:NaN_KLE_Data]]
"Nemkontobekendtgørelsen_B20060076605","Nemkontobekendtgørelsen","","B20060076605",[[Category:NaN_KLE_Data]]
"Lov om Offentlig Digital Post_A20120052830_P5","Lov om Offentlig Digital Post","§ 5","A20120052830_P5",[[Category:NaN_KLE_Data]]
"BEK om fritagelse af fysiske personer fra tilslutning til Offentlig Digital Post m.v._B20130155305","BEK om fritagelse af fysiske personer fra tilslutning til Offentlig Digital Post m.v.","","B20130155305",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P2","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 2","B20150056005_P2",[[Category:NaN_KLE_Data]]
"BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v._B20150056005_P7","BEK om obligatorisk digital selvbetjening vedrørende ansøgninger og meddelelser m.v. om sociale ydelser m.v.","§ 7","B20150056005_P7",[[Category:NaN_KLE_Data]]
"Lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber_A20060054830","Lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber","","A20060054830",[[Category:NaN_KLE_Data]]
"Vandsektorloven_A20090046930","Vandsektorloven","","A20090046930",[[Category:NaN_KLE_Data]]
"LBK om erhvervsfremme_A20100171529","LBK om erhvervsfremme","","A20100171529",[[Category:NaN_KLE_Data]]
"BEK om afvikling af mellemværender mellem kommuner og vandselskaber_B20100031905","BEK om afvikling af mellemværender mellem kommuner og vandselskaber","","B20100031905",[[Category:NaN_KLE_Data]]
"Lov om Offentlig Digital Post_A20120052830_P5","Lov om Offentlig Digital Post","§ 5, Stk.3","A20120052830_P5",[[Category:NaN_KLE_Data]]
"BEK om fritagelse af juridiske enheder med CVR-nummer samt fysiske personer med erhvervsaktiviteter for tilslutning til Digital Post_B20130098505","BEK om fritagelse af juridiske enheder med CVR-nummer samt fysiske personer med erhvervsaktiviteter for tilslutning til Digital Post","","B20130098505",[[Category:NaN_KLE_Data]]
"BEK om krydsoverensstemmelse_B20150010005","BEK om krydsoverensstemmelse","","B20150010005",[[Category:NaN_KLE_Data]]
"BEK om tilskud til omstilling i fiskerisektoren (PESCA)_B19970012005","BEK om tilskud til omstilling i fiskerisektoren (PESCA)","","B19970012005",[[Category:NaN_KLE_Data]]
"Lov om Visitdenmark_A20100064830_P2","Lov om Visitdenmark","§ 2","A20100064830_P2",[[Category:NaN_KLE_Data]]
"Lov om dansk turisme_A20140135930_P9","Lov om dansk turisme","§ 9","A20140135930_P9",[[Category:NaN_KLE_Data]]
"Lov om fond til grøn omstilling og erhvervsmæssig fornyelse_A20100011330_P9","Lov om fond til grøn omstilling og erhvervsmæssig fornyelse","§ 9, Stk.3","A20100011330_P9",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om fond til grøn omstilling og erhvervsmæssig fornyelse_A20130015630_P9","Lov om ændring af lov om fond til grøn omstilling og erhvervsmæssig fornyelse","§ 9, Stk.3","A20130015630_P9",[[Category:NaN_KLE_Data]]
"LBK om erhvervsfremme_A20100171529_P13-13a","LBK om erhvervsfremme","§ 13-13a","A20100171529_P13-13a",[[Category:NaN_KLE_Data]]
"LBK om erhvervsfremme_A20100171529_P12","LBK om erhvervsfremme","§ 12","A20100171529_P12",[[Category:NaN_KLE_Data]]
"LBK om erhvervsfremme_A20100171529_P10-11","LBK om erhvervsfremme","§ 10-11","A20100171529_P10-11",[[Category:NaN_KLE_Data]]
"LBK om kommuners og regioners anvendelse af fast ejendom og løsøre til brug for reklamering for andre_A20060049030","LBK om kommuners og regioners anvendelse af fast ejendom og løsøre til brug for reklamering for andre","","A20060049030",[[Category:NaN_KLE_Data]]
"Skatteforvaltningsloven_A20110017529_Kap3-4","Skatteforvaltningsloven","Kap.3-4","A20110017529_Kap3-4",[[Category:NaN_KLE_Data]]
"BEK om landets inddeling i skatteankenævnskredse vurderingsankenævnskredse fælles skatte- og vurderingsankenævnskredse samt motorankenævnskredse_B20130122705","BEK om landets inddeling i skatteankenævnskredse, vurderingsankenævnskredse, fælles skatte- og vurderingsankenævnskredse samt motorankenævnskredse","","B20130122705",[[Category:NaN_KLE_Data]]
"LBK om kommunal ejendomsskat_A20130110429_P2","LBK om kommunal ejendomsskat","§ 2","A20130110429_P2",[[Category:NaN_KLE_Data]]
"BEK om tilskud til kommuner i forbindelse med tilbagebetaling af grundskyld i 2012_B20120121005","BEK om tilskud til kommuner i forbindelse med tilbagebetaling af grundskyld i 2012","","B20120121005",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af særligt tilskud til kommuner som følge af nedsættelse af grundskyldpromillen_B20100147505","BEK om udbetaling af særligt tilskud til kommuner som følge af nedsættelse af grundskyldpromillen","","B20100147505",[[Category:NaN_KLE_Data]]
"LBK om kommunal ejendomsskat_A20130110429_P23-23c","LBK om kommunal ejendomsskat","§ 23-23c","A20130110429_P23-23c",[[Category:NaN_KLE_Data]]
"LBK om kommunal ejendomsskat_A20130110429_P8-9","LBK om kommunal ejendomsskat","§ 8-9","A20130110429_P8-9",[[Category:NaN_KLE_Data]]
"LBK om kommunal ejendomsskat_A20130110429_P6a","LBK om kommunal ejendomsskat","§ 6a","A20130110429_P6a",[[Category:NaN_KLE_Data]]
"LBK om lån til betaling af ejendomsskatter_A20130111229","LBK om lån til betaling af ejendomsskatter","","A20130111229",[[Category:NaN_KLE_Data]]
"LBK om folkekirkens økonomi_A20140033129","LBK om folkekirkens økonomi","","A20140033129",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P1","BEK om kommunernes borgerbetjening på skatteområdet","§ 1","B20050100705_P1",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P3","BEK om kommunernes borgerbetjening på skatteområdet","§ 3","B20050100705_P3",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P4","BEK om kommunernes borgerbetjening på skatteområdet","§ 4","B20050100705_P4",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P5","BEK om kommunernes borgerbetjening på skatteområdet","§ 5","B20050100705_P5",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P6","BEK om kommunernes borgerbetjening på skatteområdet","§ 6","B20050100705_P6",[[Category:NaN_KLE_Data]]
"BEK om kommunernes borgerbetjening på skatteområdet_B20050100705_P7","BEK om kommunernes borgerbetjening på skatteområdet","§ 7","B20050100705_P7",[[Category:NaN_KLE_Data]]
"LBK om kommunal indkomstskat_A20060072529_P6-7","LBK om kommunal indkomstskat","§ 6-7","A20060072529_P6-7",[[Category:NaN_KLE_Data]]
"LBK om kommunal indkomstskat_A20060072529_P11","LBK om kommunal indkomstskat","§ 11","A20060072529_P11",[[Category:NaN_KLE_Data]]
"Konkursloven_A20140001129","Konkursloven","","A20140001129",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P19","Serviceloven","§ 19, Stk.2-3","A20150015029_P19",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P22","Socialtilsynsloven","§ 22","A20130060830_P22",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P4","Serviceloven","§ 4","A20150015029_P4",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P5","Serviceloven","§ 5, Stk.6","A20150015029_P5",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P7","Serviceloven","§ 7","A20150015029_P7",[[Category:NaN_KLE_Data]]
"BEK om Tilbudsportalen_B20130155805","BEK om Tilbudsportalen","","B20130155805",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P9","Serviceloven","§ 9, Stk.3","A20150015029_P9",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P23","Socialtilsynsloven","§ 23","A20130060830_P23",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P174","Serviceloven","§ 174","A20150015029_P174",[[Category:NaN_KLE_Data]]
"BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven_B20150000905","BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven","","B20150000905",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P50a","Serviceloven","§ 50a","A20150015029_P50a",[[Category:NaN_KLE_Data]]
"BEK om børnehuse_B20130115305","BEK om børnehuse","","B20130115305",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.1","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P148a","Serviceloven","§ 148a","A20150015029_P148a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.2","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P148a","Serviceloven","§ 148a","A20150015029_P148a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P66","Serviceloven","§ 66, Stk.1","A20150015029_P66",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P67","Serviceloven","§ 67, Stk.3","A20150015029_P67",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P148a","Serviceloven","§ 148a","A20150015029_P148a",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P9","Socialtilsynsloven","§ 9","A20130060830_P9",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P9","Serviceloven","§ 9","A20150015029_P9",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P4-6","Serviceloven","§ 4-6","A20150015029_P4-6",[[Category:NaN_KLE_Data]]
"BEK om rammeaftaler m.v. på det sociale område og på det almene ældreboligområde_B20140115605","BEK om rammeaftaler m.v. på det sociale område og på det almene ældreboligområde","","B20140115605",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105_P11","BEK om socialtilsyn","§ 11","B20150055105_P11",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P14","Serviceloven","§ 14, Stk.3","A20150015029_P14",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"BEK om Tilbudsportalen_B20130155805","BEK om Tilbudsportalen","","B20130155805",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P4","Socialtilsynsloven","§ 4, Stk.1","A20130060830_P4",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P5","Socialtilsynsloven","§ 5","A20130060830_P5",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830_P7-8","Socialtilsynsloven","§ 7-8","A20130060830_P7-8",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P14","Serviceloven","§ 14, Stk.3","A20150015029_P14",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P148a-149","Serviceloven","§ 148a-149","A20150015029_P148a-149",[[Category:NaN_KLE_Data]]
"BEK om socialtilsyn_B20150055105","BEK om socialtilsyn","","B20150055105",[[Category:NaN_KLE_Data]]
"BEK om Tilbudsportalen_B20130155805","BEK om Tilbudsportalen","","B20130155805",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P10","Serviceloven","§ 10","A20150015029_P10",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P12-12a","Serviceloven","§ 12-12a, Stk.1","A20150015029_P12-12a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P11","Serviceloven","§ 11, Stk.1-7","A20150015029_P11",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P11","Serviceloven","§ 11, Stk.8","A20150015029_P11",[[Category:NaN_KLE_Data]]
"BEK om familievejlederordningen efter lov om social service § 11_B20090058305","BEK om familievejlederordningen efter lov om social service § 11","","B20090058305",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P141","Serviceloven","§ 141","A20150015029_P141",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P12a","Serviceloven","§ 12a, Stk.2-3","A20150015029_P12a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P148","Serviceloven","§ 148","A20150015029_P148",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P151-151c","Serviceloven","§ 151-151c","A20150015029_P151-151c",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P114","Retsplejeloven","§ 114, Stk.2","A20140130829_P114",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P115","Retsplejeloven","§ 115, Stk.1","A20140130829_P115",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P115","Retsplejeloven","§ 115, Stk.1","A20140130829_P115",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P16","Serviceloven","§ 16","A20150015029_P16",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P18","Serviceloven","§ 18, Stk.1-3","A20150015029_P18",[[Category:NaN_KLE_Data]]
"Retssikkerhedsbekendtgørelsen_B20150019405_P47","Retssikkerhedsbekendtgørelsen","§ 47","B20150019405_P47",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P32","Serviceloven","§ 32, Stk.1","A20150015029_P32",[[Category:NaN_KLE_Data]]
"BEK om hjælp til børn og unge der på grund af betydelig og varigt nedsat fysisk eller psykisk funktionsevne har behov for hjælp eller særlig støtte_B20100113005_P1-2","BEK om hjælp til børn og unge, der på grund af betydelig og varigt nedsat fysisk eller psykisk funktionsevne har behov for hjælp eller særlig støtte","§ 1-2","B20100113005_P1-2",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P32","Serviceloven","§ 32, Stk.3","A20150015029_P32",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P32","Serviceloven","§ 32, Stk.5","A20150015029_P32",[[Category:NaN_KLE_Data]]
"BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven_B20150000905","BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven","","B20150000905",[[Category:NaN_KLE_Data]]
"BEK om tilskud til ophold i særlige dagtilbud og særlige klubtilbud til børn og unge med betydelig og varigt nedsat fysisk eller psykisk funktionsevne_B20070103405","BEK om tilskud til ophold i særlige dagtilbud og særlige klubtilbud til børn og unge med betydelig og varigt nedsat fysisk eller psykisk funktionsevne","","B20070103405",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P32","Serviceloven","§ 32, Stk.4","A20150015029_P32",[[Category:NaN_KLE_Data]]
"BEK om forældrebestyrelser i særlige dagtilbud_B20070103305","BEK om forældrebestyrelser i særlige dagtilbud","","B20070103305",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P32","Serviceloven","§ 32, Stk.6-9","A20150015029_P32",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P36","Serviceloven","§ 36","A20150015029_P36",[[Category:NaN_KLE_Data]]
"BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven_B20150000905","BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven","","B20150000905",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P45","Serviceloven","§ 45","A20150015029_P45",[[Category:NaN_KLE_Data]]
"BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven_B20150000905","BEK om beregning af takster og betaling for visse ydelser og tilbud efter serviceloven","","B20150000905",[[Category:NaN_KLE_Data]]
"BEK om betingelser for ledsageordningen efter serviceloven_B20120023505","BEK om betingelser for ledsageordningen efter serviceloven","","B20120023505",[[Category:NaN_KLE_Data]]
"BEK om ydelser efter lov om social service under midlertidige ophold i udlandet_B20090129605","BEK om ydelser efter lov om social service under midlertidige ophold i udlandet","","B20090129605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P44","Serviceloven","§ 44","A20150015029_P44",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P83","Serviceloven","§ 83","A20150015029_P83",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P44","Serviceloven","§ 44","A20150015029_P44",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P84","Serviceloven","§ 84, Stk.1","A20150015029_P84",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P44","Serviceloven","§ 44","A20150015029_P44",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P86","Serviceloven","§ 86, Stk.2","A20150015029_P86",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P19","Serviceloven","§ 19, Stk.5","A20150015029_P19",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P46","Serviceloven","§ 46","A20150015029_P46",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P57","Serviceloven","§ 57","A20150015029_P57",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P138","Serviceloven","§ 138","A20150015029_P138",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P64","Serviceloven","§ 64, Stk.3","A20150015029_P64",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P75","Serviceloven","§ 75","A20150015029_P75",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P49-51","Serviceloven","§ 49-51","A20150015029_P49-51",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.1","A20150015029_P140",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.3-4","A20150015029_P140",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.6","A20150015029_P140",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P68b","Serviceloven","§ 68b","A20150015029_P68b",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52a","Serviceloven","§ 52a","A20150015029_P52a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P54","Serviceloven","§ 54","A20150015029_P54",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P722-723","Retsplejeloven","§ 722-723","A20140130829_P722-723",[[Category:NaN_KLE_Data]]
"Straffeloven_A20140087129_P57","Straffeloven","§ 57","A20140087129_P57",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.5","A20150015029_P140",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P54a","Serviceloven","§ 54a","A20150015029_P54a",[[Category:NaN_KLE_Data]]
"Straffeloven_A20140087129_P74a","Straffeloven","§ 74a","A20140087129_P74a",[[Category:NaN_KLE_Data]]
"BEK om kommunens bistand til børn og unge i forbindelse med uden- og indenretlig afhøring_B20150057205","BEK om kommunens bistand til børn og unge i forbindelse med uden- og indenretlig afhøring","","B20150057205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P57c","Serviceloven","§ 57c","A20150015029_P57c",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P55","Serviceloven","§ 55","A20150015029_P55",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76, Stk.3","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P57a","Serviceloven","§ 57a","A20150015029_P57a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P57b","Serviceloven","§ 57b","A20150015029_P57b",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P57d","Serviceloven","§ 57d","A20150015029_P57d",[[Category:NaN_KLE_Data]]
"Adoptionsloven_A20140108429","Adoptionsloven","","A20140108429",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P68","Serviceloven","§ 68","A20150015029_P68",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P75","Serviceloven","§ 75","A20150015029_P75",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P58-62","Serviceloven","§ 58-62","A20150015029_P58-62",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P63","Serviceloven","§ 63","A20150015029_P63",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P75","Serviceloven","§ 75","A20150015029_P75",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P65","Serviceloven","§ 65","A20150015029_P65",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P71","Serviceloven","§ 71, Stk.2-4","A20150015029_P71",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P71","Serviceloven","§ 71, Stk.6","A20150015029_P71",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P75","Serviceloven","§ 75","A20150015029_P75",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P72","Serviceloven","§ 72","A20150015029_P72",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P48-48a","Serviceloven","§ 48-48a","A20150015029_P48-48a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P101","Serviceloven","§ 101","A20150015029_P101",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P140","Serviceloven","§ 140, Stk.2","A20150015029_P140",[[Category:NaN_KLE_Data]]
"BEK om garanti for social behandling for stofmisbrug til unge under 18 år i særlige tilfælde_B20130071405","BEK om garanti for social behandling for stofmisbrug til unge under 18 år i særlige tilfælde","","B20130071405",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P152-155","Serviceloven","§ 152-155","A20150015029_P152-155",[[Category:NaN_KLE_Data]]
"BEK om underretning af kommunalbestyrelsen om afhøringer af sigtede under 18 år_B20100080305","BEK om underretning af kommunalbestyrelsen om afhøringer af sigtede under 18 år","","B20100080305",[[Category:NaN_KLE_Data]]
"BEK om underretningspligt over for kommunen efter lov om social service_B20100146605","BEK om underretningspligt over for kommunen efter lov om social service","","B20100146605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P68","Serviceloven","§ 68","A20150015029_P68",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P76","Serviceloven","§ 76","A20150015029_P76",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år_B20130071205","BEK om betaling for ophold i anbringelsessteder for børn og unge under 18 år samt for døgnophold og udslusningsophold for unge i alderen 18 til og med 22 år","","B20130071205",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.3","A20150015029_P52",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P52","Serviceloven","§ 52, Stk.1","A20150015029_P52",[[Category:NaN_KLE_Data]]
